R,R_DBI_CM
5.0,1.1
6.271186440677966,1.0797297297297297
7.5423728813559325,1.0662921348314607
8.813559322033898,1.0567307692307693
10.084745762711865,1.0495798319327732
11.35593220338983,1.0440298507462686
12.627118644067796,1.0395973154362417
13.898305084745763,1.0359756097560975
15.169491525423728,1.0329608938547485
16.440677966101696,1.0304123711340205
17.71186440677966,1.0282296650717704
18.983050847457626,1.0263392857142857
20.25423728813559,1.0246861924686193
21.525423728813557,1.023228346456693
22.796610169491526,1.0219330855018587
24.06779661016949,1.0207746478873239
25.338983050847457,1.0197324414715718
26.610169491525422,1.0187898089171974
27.881355932203387,1.0179331306990882
29.152542372881356,1.0171511627906977
30.423728813559322,1.0164345403899722
31.694915254237287,1.0157754010695188
32.96610169491525,1.0151670951156813
34.23728813559322,1.0146039603960395
35.50847457627118,1.0140811455847256
36.77966101694915,1.013594470046083
38.050847457627114,1.013140311804009
39.32203389830509,1.0127155172413793
40.59322033898305,1.0123173277661794
41.86440677966102,1.0119433198380567
43.13559322033898,1.0115913555992142
44.40677966101695,1.0112595419847328
45.67796610169491,1.0109461966604825
46.94915254237288,1.0106498194945848
48.220338983050844,1.0103690685413005
49.49152542372881,1.0101027397260274
50.762711864406775,1.0098497495826377
52.03389830508474,1.0096091205211726
53.30508474576271,1.0093799682034976
54.57627118644068,1.0091614906832298
55.847457627118644,1.0089529590288315
57.11864406779661,1.008753709198813
58.389830508474574,1.0085631349782294
59.66101694915254,1.0083806818181817
60.932203389830505,1.0082058414464534
62.20338983050847,1.0080381471389646
63.474576271186436,1.0078771695594126
64.7457627118644,1.0077225130890053
66.01694915254237,1.0075738125802312
67.28813559322035,1.0074307304785894
68.5593220338983,1.0072929542645241
69.83050847457626,1.0071601941747572
71.10169491525423,1.0070321811680571
72.3728813559322,1.0069086651053865
73.64406779661017,1.006789413118527
74.91525423728814,1.0066742081447964
76.1864406779661,1.0065628476084538
77.45762711864407,1.0064551422319474
78.72881355932203,1.006350914962325
80.0,1.00625
